search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence,suggestion_synonym_mapping,suggestion_synonym_url,suggestion_related_artist_id,suggestion_related_artist_url,suggestion_related_song_id,suggestion_related_song_url,suggestion_theme_keywords
국악딴따라,13548,0,0,false,,"SNS(틱톡 등)에서 국악풍 사운드/구음(딴따라 어감의 소리)이 화제가 되며 많은 사람들이 정식 음원으로 나오길 바라는 인터넷 유행 사운드로 보이나, 실제 정식 발매곡이 존재하지 않아 멜론 검색에서는 매칭되는 곡이 없어 클릭률이 0%에 가까운 것으로 추정됨.",밈/트렌드,low,,,,,,,"국악 밈, 국악풍 사운드, 구음 챌린지, SNS 유행 사운드"
잔울,3497,82,0.0234,false,,"Spotify, Apple Music, YouTube Music 등에 아티스트 페이지가 존재하는 실제 가수/아티스트명(로마자 표기 Janull)으로, 인지도가 낮은 신인 아티스트로 보임.",아티스트,medium,,,,,,,"인디 신인 아티스트, 해외 스트리밍 플랫폼 아티스트, 저인지도 뮤지션, 신인 발굴"
효리수,2803,69,0.0246,false,,"소녀시대 멤버 효연, 유리, 수영으로 구성된 유닛 그룹명으로, 효연의 유튜브 콘텐츠 '효연의 레벨업'에서 시작되어 화제가 되었고 2026년 정식 데뷔한 것으로 보도됨.",아티스트,high,,,228069,https://www.melon.com/artist/timeline.htm?artistId=228069,,,
겜작,2331,29,0.0124,false,,"'겜'(게임)과 '작'(노가다/반복작업)의 합성어로, 게임 내 스탯이나 능력치를 올리기 위해 반복적으로 파밍하는 행위를 뜻하는 게임 커뮤니티 용어이며 음악과는 직접적 관련이 없음.",지식,medium,,,,,,,"게임 커뮤니티 용어, 파밍 게임, 겜생 용어, 게임 스탯업"
국악 딴따라,2276,84,0.0369,false,,"'국악딴따라'와 동일한 문구로, 공백 유무만 다른 검색어이며 SNS에서 화제가 된 국악풍 사운드/구음 관련 유행 표현으로 정식 음원이 없어 멜론 검색 클릭률이 낮은 것으로 추정됨.",밈/트렌드,low,,,,,,,"국악 밈, 국악풍 사운드, 구음 챌린지, SNS 유행 사운드"
뮤직웨이브,1504,25,0.0166,false,,"뮤직웨이브(MUSIC WAVE)는 카카오엔터테인먼트 멜론이 운영하는 실시간 음악 감상·채팅 서비스로, 다양한 테마 채널에서 여러 이용자가 함께 음악을 들으며 소통하고 K팝 아티스트-팬덤 소통 채널로도 쓰인다.",앱기능/서비스,high,,,,,,,"실시간 음악 감상, 카카오엔터테인먼트 서비스, K팝 팬덤 소통, 테마 채널"
르센느,1126,0,0,true,리센느,,,high,,,,,,,
국어별동대,849,0,0,false,,"국어별동대는 유튜버 백앤아와 캐릭터 그룹 고고프렌즈가 만든 국어 학습 콘텐츠에서 나온 노래 제목으로, 동명의 학습만화 단행본도 출간되었다.",음원,medium,,,3092399,https://www.melon.com/artist/timeline.htm?artistId=3092399,,,
국악딴,745,0,0,true,국악딴따라,,,high,,,,,,,
무엇이든 해낼 당신에게,721,0,0,false,,"무엇이든 해낼 당신에게는 작가 남상훈이 쓴 에세이·자기계발 도서(부크럼, 2024)로, SNS 필사챌린지 등에서 자주 인용되는 문구이다.",기타,medium,,,,,,,"자기계발 문구, 필사챌린지, 에세이 인용구, SNS 감성문구"
무엇이든 해낼,607,23,0.0379,true,무엇이든 해낼 당신에게,,,medium,,,,,,,
국악딴다라,600,0,0,true,국악딴따라,,,high,,,,,,,
사람이 지쳤잖아,580,24,0.0414,false,,"지치고 힘든 감정을 반복적으로 표현하는 문구로 틱톡 등 SNS에서 유행한 밈 문구이며, 이를 바탕으로 아티스트 223.32가 2026년 1월 동명의 싱글 음원을 발매했다.",음원,medium,,,,,,,"밈 문구 음원, SNS 유행어 노래, 감성 힐링, 인디 싱글"
제이플로라,560,0,0,true,제이플라,,,high,,,,,,,
분주한결,547,5,0.0091,false,,"'여름이네 여름이야', '차라리 나를 미워해' 등의 싱글을 발매한 인디/솔로 성격의 음악 아티스트명이다.",아티스트,medium,,,,,,,"인디 솔로 아티스트, 감성 발라드, 신인 뮤지션, 자작곡"
이런여유너무좋고,535,20,0.0374,false,,"""이런 여유 너무 좋고""라는 뜻의 문구로, 특정 곡이나 밈의 정확한 출처는 검색으로 확인되지 않았으며 SNS/쇼츠 등에서 여유로운 일상을 표현할 때 쓰이는 캡션형 문구로 추정된다.",밈/트렌드,low,,,,,,,"여유로운 일상 밈, 쇼츠 캡션 문구, 힐링 플레이리스트, SNS 유행어"
해지,508,3,0.0059,false,,멜론 유료 구독 서비스의 해지(구독 취소)와 관련된 앱 내 기능/메뉴를 찾기 위한 검색어이다.,앱기능/서비스,high,,,,,,,"구독 해지, 멜론 이용권, 결제 관리, 고객센터"
주간인기상,504,3,0.006,false,,"멜론에서 매주 진행하는 인기 투표 시상 제도로, 발매 28일 이내 신곡을 대상으로 스트리밍/다운로드 성적과 투표를 합산해 매주 월요일 발표하는 멜론 뮤직 어워드 관련 기능이다.",앱기능/서비스,high,,,,,,,"멜론 뮤직 어워드, 주간 차트, 신곡 투표, 스트리밍 순위"
ㅇ,479,8,0.0167,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"단문 검색, 초성 검색, 인기 급상승 검색어, 의미불명 검색어"
afterandafter,449,1,0.0022,false,,"afterandafter는 'The Carousel', 'Filled With Love', 'I Froze' 등의 곡을 스포티파이·애플뮤직 등에 발표한 인디 음악 아티스트이다.",아티스트,medium,,,,,,,"인디 팝, 해외 인디 아티스트, 스포티파이 인디, 감성 인디팝"
맛뮤직,418,6,0.0144,false,,"정확한 의미를 확인할 수 있는 자료를 찾지 못했으며, '맛'과 '뮤직'을 합친 조어로 취향에 맞는 음악을 뜻하는 표현으로 추정된다.",기타,low,,,,,,,"감성 플레이리스트, 취향 맞춤 음악, 신조어 밈"
rover is,398,8,0.0201,false,,'ROVER is:'는 '계속 가'라는 곡을 발표한 것으로 확인되는 아티스트/그룹명으로 추정된다.,아티스트,medium,,,,,,,"신인 아티스트, 인디 밴드, 감성 팝"
34xp,394,0,0,false,,"34XP는 'THE BEACH', 'threshold' 등의 앨범을 발표하고 스포티파이·애플뮤직·유튜브뮤직 등에서 활동 중인 아티스트이다.",아티스트,high,,,,,,,"해외 인디 팝, 드림팝, 감성 앨범"
할 걸,393,9,0.0229,false,,"'할걸'과 '할 걸'의 띄어쓰기(맞춤법)에 관한 국어 표현 질문으로 검색되는 경우가 많으며, 특정 곡과의 뚜렷한 연관성은 확인되지 않았다.",지식,low,,,,,,,"국어 맞춤법, 가사 속 표현, 감성 발라드"
무엇이든,383,15,0.0392,true,무엇이든 해낼 당신에게,,,high,,,,,,,
고고프렌즈,381,18,0.0472,false,,"고고프렌즈(GOGO FRIENDS)는 백현, 아름, 모찌엘, 평학, 모양몬 등이 출연하는 키즈 대상 유튜브 콘텐츠 그룹으로, '국어별동대' 등의 노래도 발표했다.",아티스트,medium,,,,,,,"키즈 콘텐츠, 유튜브 키즈 채널, 동요"
love basecamp,355,3,0.0085,false,,'love'(feat. SOLE)는 아티스트 basecamp가 2024년에 발표한 곡이다.,음원,high,,,2006587,https://www.melon.com/artist/timeline.htm?artistId=2006587,,,
이런여유,355,8,0.0225,true,이런여유너무좋고,,,high,,,,,,,
진울,348,5,0.0144,true,잔울,,,medium,,,,,,,
정승환 입춘,344,7,0.0203,false,,"가수 정승환이 한로로의 원곡 '입춘'을 커버해 부른 무대로, 유튜브·SNS 등에서 화제가 된 곡입니다.",음원,high,,,3080810,https://www.melon.com/artist/timeline.htm?artistId=3080810,34753369,https://www.melon.com/song/detail.htm?songId=34753369,
로린디엘,341,0,0,false,,"로린디엘(Lorindiel)은 스포티파이·유튜브·틱톡·인스타그램 등에서 활동하는 인디 여성 보컬 아티스트로, '그밤 우리는' 등의 곡을 발표했습니다.",아티스트,medium,,,,,,,"인디 보컬, 감성 팝, 해외 인디 아티스트"
ㄱ,336,13,0.0387,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"오늘의 인기차트, 신곡 추천, 급상승 검색어"
내정보,302,1,0.0033,false,,"멜론 앱의 '내 정보' 메뉴로, 마이페이지에서 이용권 및 개인정보를 확인·관리하는 서비스 기능입니다.",앱기능/서비스,high,,,,,,,"마이페이지, 이용권 관리, 개인정보 설정"
mellozen,300,0,0,false,,"mellozen은 '이 순간이 소중해' 등의 곡을 발표한 AI 음악 아티스트/크리에이터로, 스포티파이·샤잠·인스타그램 등에서 활동이 확인됩니다.",아티스트,medium,,,,,,,"AI 음악, 감성 발라드, 크리에이터 음원"
한그루비,294,13,0.0442,true,한그루브,,,medium,,,,,,,
어짜피 한번,291,3,0.0103,true,어차피 한번,,,high,,,,,,,
어짜피한번,291,6,0.0206,true,어차피 한번,,,high,,,,,,,
lovixx,268,0,0,false,,"LOVIXX는 클라우드랩/힙합·전자음악을 기반으로 활동하는 아티스트로, 'Dior', 'Millionaire' 등의 곡을 발표했습니다.",아티스트,high,,,,,,,"클라우드랩, 힙합, 전자음악"
투표,267,3,0.0112,false,,멜론 내 음악방송이나 시상식 등에서 아티스트에게 투표하는 투표 기능을 가리키는 검색어로 추정됩니다.,앱기능/서비스,medium,,,,,,,"음악방송 투표, 시상식, 팬 투표"
nno signal,261,0,0,true,no signal,,,medium,,,,,,,
열,259,4,0.0154,false,,"한 글자로 의미가 매우 다양(숫자 10, 발열, 줄 등)하여 어떤 대상을 의도했는지 특정하기 어려운 검색어입니다.",기타,low,,,,,,,"숫자 10, 발열 관리, 다의어 검색"
mlip,247,3,0.0121,false,,"MLIP은 '시발 존나 춥다', '느금마', '앙기모찌송' 등 인터넷 드립/밈을 소재로 한 곡들을 멜론·스포티파이·애플뮤직 등에 다수 발표한 온라인 음원 아티스트명이다.",아티스트,medium,,,,,,,"인터넷 밈, 드립 음원, 온라인 밈 음악"
씨앤블루,247,9,0.0364,true,씨엔블루 (CNBLUE),,,high,,,,,,,
제발 잊혀져,246,4,0.0163,false,,"이소라의 발라드 '제발' 가사 중 '다른 사랑으로 잊혀져 지워지는 게 난 싫어'라는 구절에서 따온 표현으로, 곡 제목과 가사 일부를 조합해 검색한 것으로 보인다. 해당 곡은 김범수의 리메이크로도 유명하다.",음원,medium,,,983,https://www.melon.com/artist/timeline.htm?artistId=983,33219502,https://www.melon.com/song/detail.htm?songId=33219502,
